real, user, sys
0m3.192s, 0m3.125s, 0m0.056s
1m37.617s, 1m31.305s, 0m0.657s
0m0.555s, 0m0.537s, 0m0.045s
0m0.889s, 0m0.900s, 0m0.030s
0m36.640s, 0m32.507s, 0m0.254s
0m0.868s, 0m0.873s, 0m0.030s
0m34.875s, 0m32.714s, 0m0.214s
0m0.177s, 0m0.187s, 0m0.031s
0m2.288s, 0m2.229s, 0m0.044s
0m0.219s, 0m0.237s, 0m0.028s
