real, user, sys
0m5.244s, 0m5.228s, 0m0.039s
11m18.275s, 10m38.825s, 0m2.685s
0m0.158s, 0m0.102s, 0m0.043s
0m0.104s, 0m0.074s, 0m0.027s
0m0.193s, 0m0.194s, 0m0.030s
0m0.248s, 0m0.257s, 0m0.028s
